ID,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15
P072,1.320173689,-0.608295209,0.28209778,-0.196194924,1.092401854,1.514932369,0.696036719,1.226332772,2.483090351,0.446107701,-0.271568209,0.046231117,-0.841983347,0.928698817,0.18104339,-1.44970785
P073,-0.647339976,-1.366488987,0.110906309,-1.707128443,0.385973824,-0.087951921,-0.314625439,0.036065902,-1.614802828,0.801808784,-0.319174035,-1.494132003,-0.565429902,-1.37813379,-1.532564869,-0.819090642
P074,-1.337330453,0.642736215,-0.968644583,0.44419573,-0.284193783,-0.549845932,0.908498803,0.161450168,0.087478046,-0.143648573,-0.307966393,-0.567312438,-1.990164056,-0.182105009,0.19914575,-2.0718859
P075,0.053295324,-1.793381157,-0.299352232,0.369095227,-0.081135099,-1.231944606,-0.304851003,0.791705709,-0.956142781,0.489438052,-0.260871863,-1.634584629,0.413901794,-0.484639006,-0.329781862,0.894328558
P076,1.368820185,0.031578983,-1.820201119,0.146166232,-0.407560532,-0.67590143,-0.46391651,-0.139643605,-0.842642523,0.280744238,1.249671242,0.955533673,-0.418468834,-0.715068315,0.888283569,-0.613700378
P077,-0.894146875,-1.219791342,0.677514264,-2.548694906,-0.162517443,-0.137766778,-0.164829009,0.153467059,-0.909874686,-1.096852655,-0.259132846,-1.512775073,1.211619663,-1.865551027,0.09499994,-1.040508365
P078,0.741064773,-1.589075892,-0.683128711,0.118049592,2.372732337,-1.925761625,0.204841275,-0.703037425,0.730988101,-0.363037152,-1.082256518,-2.075515807,-1.505775484,-0.698738256,1.835434767,-1.213467644
P079,0.506856489,-1.863985791,-0.573978245,1.32145512,0.066411449,-1.645877897,0.890385065,1.064667747,1.013298868,-1.820375529,0.073664255,-0.37272268,0.286458022,-1.777149909,0.729761175,0.620322057
P080,-0.441825041,-0.332646938,0.511846851,-0.975195765,-1.87365886,-1.248001886,1.792855841,-1.340940598,0.307259335,0.746483287,0.297532327,1.516202644,0.546173493,0.57536133,-1.229195913,0.160572141
P081,-0.599930747,0.383956339,0.421464019,-1.471862249,-0.537817424,-1.035530728,2.673713746,-0.500867192,0.36807163,-0.541139404,-0.973535359,0.373891879,1.954112225,-1.01027875,1.012036434,-1.944097984
P082,-1.273399943,0.68675218,-0.726562504,-0.847484294,0.387778904,0.391191405,0.604088239,0.47216762,-1.228747443,0.274226825,-1.576641107,-0.057413352,-0.461647287,1.371614802,0.783893868,1.051694169
P083,-1.437905619,0.411653999,-0.73360987,-0.243461085,-1.123656034,-0.968725778,0.956130389,-0.671782875,0.306368994,-1.176898577,-1.267056488,-0.459155413,-0.830364915,0.990662682,0.643507782,-1.024324518
P084,1.364364012,0.671497209,-1.506850606,-0.903739537,1.855150965,-2.49613761,-0.275627667,-1.702102662,-2.14181083,-1.621749928,-0.139332342,1.087363663,1.032504089,0.779429814,-3.39732302,0.901658797
P085,1.124917839,-0.886325681,-0.817537626,0.500767102,0.352674018,1.978249809,0.447844312,1.255253025,-1.062933512,0.442478221,-0.396011152,1.839945325,-0.141015034,0.874785421,0.065568201,0.861011746
P086,-0.458221863,-1.085940359,1.323758833,-0.225928028,1.298219174,0.058512925,-1.332244306,0.00248097,-1.25244036,-0.519066294,1.217320453,-1.414286107,-0.382568196,0.060640155,0.060587777,1.268692064
P087,-0.704900313,-1.672548875,0.354656778,0.184444184,-1.462434869,-0.54897982,-1.10415253,-2.150880145,-0.09200997,1.742191954,-0.132548911,-0.890112583,-0.344701121,-1.766847888,-0.713868745,0.574752793
P088,0.738020561,-1.285062712,0.473760663,0.605555865,-1.23146635,-0.112338189,1.805228781,0.145831254,0.565576871,-0.416665971,0.872520434,1.535259032,-0.193366159,0.951788973,-0.508142404,1.270834096
P089,-0.899343598,-0.18667539,0.366716465,0.213430976,1.159114161,0.521070802,-2.511135132,-1.442846621,-0.358008689,0.941709025,-0.940000033,0.100032691,1.361934877,-1.361996837,-0.293670043,0.585135356
P090,0.837460601,-1.208575668,-0.448249996,-0.127668639,0.670985282,0.793637922,0.29802957,1.332683181,0.135830221,-0.554970998,-0.587159087,0.432312425,0.730479397,0.488592199,-1.445753038,0.155288332
